From/To	Kuwaiti Dinar	Bahraini Dinar	Omani Rial	British Pound	Euro	Swiss Franc	Canadian Dollar	Bruneian Dollar	Singapore Dollar	Libyan Dinar	Australian Dollar	New Zealand Dollar	Bulgarian Lev	Israeli Shekel	Qatari Riyal	Emirati Dirham	Saudi Arabian Riyal	Polish Zloty	Romanian New Leu	Malaysian Ringgit	Brazilian Real	Danish Krone	Croatian Kuna	Trinidadian Dollar	Turkish Lira	Chinese Yuan Renminbi	Hong Kong Dollar	Swedish Krona	Norwegian Krone	Venezuelan Bolivar	Botswana Pula	South African Rand	Mexican Peso	Czech Koruna	Taiwan New Dollar	Thai Baht	Mauritian Rupee	Philippine Peso	Russian Ruble	Argentine Peso	Indian Rupee	Japanese Yen	Nepalese Rupee	Icelandic Krona	Pakistani Rupee	Sri Lankan Rupee	Hungarian Forint	Kazakhstani Tenge	Chilean Peso	South Korean Won	Colombian Peso	Indonesian Rupiah	Iranian Rial	USD
Kuwaiti Dinar	1	1.213837763	1.230030128	2.549665059	2.802691797	3.014572011	4.338895889	4.443310364	4.433807517	4.450357063	4.546638118	4.809023301	5.418261335	11.06914506	11.78137401	11.86446188	12.14884133	12.38300318	13.48001108	13.61610109	16.41597085	20.53601959	21.1135392	21.73210996	22.06052043	22.69669276	25.0411426	28.47175292	29.58005712	32.32993579	37.47037739	53.49379693	71.93929708	73.90972333	94.82417809	101.854059	129.3500904	158.0826171	229.8255202	233.2433532	240.0276193	347.6095459	387.8442964	442.1866594	537.7345609	603.1885698	972.4427265	1326.275446	2491.787557	3881.178893	11801.59042	47533.01688	656502.727	3.099361561
Bahraini Dinar	0.81026094	1	1.016128937	2.076325998	2.274083786	2.470011457	3.503052204	3.655262907	3.638846045	3.642738259	3.692649526	3.937533231	4.472187985	8.935353159	9.553211124	9.623602691	9.973192441	10.02754722	11.02282931	11.28840182	13.35382485	16.85040163	16.97075888	17.8435759	17.91621378	18.54823902	20.48142605	23.36556184	24.28203323	26.39780407	30.48737936	43.5116475	59.18424375	59.70082919	76.93742839	83.04398207	106.2008167	131.1816081	188.3513649	190.8061412	195.886699	284.2758984	313.6622862	360.0602034	439.1781757	491.7278994	797.3901212	1082.098363	2020.763699	3121.18654	9512.712938	38916.33134	539327.0459	2.616325686
Omani Rial	0.79055506	0.97188204	1	2.020958017	2.201973809	2.415234566	3.432745885	3.554214252	3.556398896	3.564864015	3.580483101	3.838761339	4.392780396	8.768448371	9.421150291	9.498673646	9.608057451	9.872727756	10.7893874	11.02696184	13.06147196	16.41160607	16.566288	17.39621852	17.46783412	18.11898888	19.90394807	22.8013156	23.44522448	25.5540801	29.79670623	42.69867375	57.62829872	58.66878738	74.97559328	80.96627734	102.7652086	127.8505843	181.8793852	184.3327233	190.7874545	278.2558927	308.9369795	347.9832172	428.3222353	482.2561789	774.5775825	1054.03448	1964.933251	3072.043956	9410.770947	37899.78437	521734.807	2.558400675
British Pound	0.386888829	0.472675172	0.481712823	1	1.088453993	1.175264678	1.704192424	1.741829462	1.737190763	1.769845694	1.749843742	1.876442194	2.141189877	4.307362019	4.6103057	4.593056875	4.697669675	4.770988191	5.236835739	5.388985817	6.450941689	8.158089136	8.199227153	8.431941351	8.658882685	8.754205843	9.862446315	11.05963916	11.61186995	12.55192485	14.5434372	20.71329337	27.85910759	28.8714763	36.8341672	39.73406059	50.76725044	62.54993347	89.38570586	90.09075377	93.19909101	134.7965694	152.3305136	172.405812	209.858167	235.6889355	379.1805369	515.6828363	968.1023596	1519.017544	4546.226694	18449.11219	255117.6569	1.267580928
Euro	0.349864239	0.432096708	0.444352066	0.905572473	1	1.059270513	1.526858287	1.599296064	1.591335572	1.60225359	1.594488064	1.720416073	1.945642909	3.94633111	4.209345502	4.224494559	4.313616381	4.378156016	4.808642747	4.85232148	5.835816327	7.317202397	7.518402344	7.706216745	7.91527634	8.068140892	8.824964192	10.21462056	10.36334844	11.43260169	13.21230924	18.85152108	25.31022739	25.98533236	33.85047032	36.10252427	46.25326399	56.26650968	82.33033286	81.8288085	85.06810178	123.3405893	136.4619506	155.3674851	193.6976964	213.4396342	343.6638427	475.8322928	886.6839358	1368.928568	4194.589184	16782.13552	233380.3947	1.128933776
Swiss Franc	0.324076796	0.397032518	0.405596924	0.831785392	0.914198521	1	1.414889095	1.480230534	1.479067611	1.480881783	1.486209539	1.602561533	1.802380936	3.63595331	3.895050711	3.88234767	3.996635733	4.078350829	4.436823035	4.495744519	5.41019931	6.888548753	6.857923938	7.212348771	7.351928248	7.478211016	8.23381465	9.533809063	9.687759203	10.72561508	12.36088793	17.52750215	23.90282165	24.1208769	31.43735451	33.492271	42.4131816	52.20861463	75.09543262	77.01180393	80.07647589	114.4301392	127.1504312	144.3020502	177.1139758	198.7271667	320.2056105	436.2750063	816.5635615	1262.120298	3891.731661	15646.83239	218592.5335	1.033784545
Canadian Dollar	0.225257974	0.278035108	0.284653772	0.581431452	0.64208656	0.680857606	1	1.017165135	1.025231334	1.018844481	1.036909509	1.103305072	1.238481419	2.500996821	2.713229766	2.686089208	2.794927171	2.829103165	3.072809373	3.153831404	3.748808955	4.774094545	4.76465765	4.980841446	5.018041104	5.145711145	5.750345523	6.510835204	6.738214698	7.403617347	8.522120785	12.19338728	16.28383341	16.79227808	21.70758635	23.23377982	29.59257648	36.66106819	52.99158043	53.18812754	55.42864009	78.61191619	89.26539092	100.125533	123.3367541	138.4082613	223.6921388	306.6742836	570.1672283	886.010734	2685.189027	10722.83446	151266.355	0.740527376
Bruneian Dollar	0.218019138	0.270839278	0.274956224	0.56192831	0.619930999	0.668889062	0.963034384	1	0.991505983	1.002839659	0.99508542	1.062980715	1.211270574	2.433699492	2.597339065	2.619536419	2.703934182	2.749374582	3.006046816	3.048455751	3.661255285	4.590920515	4.667037989	4.797676064	4.946099428	5.036513274	5.510013801	6.348912277	6.506519331	7.169055932	8.215021654	11.82926715	16.04978308	16.31865238	20.96160996	22.47912365	28.41852799	35.38848577	51.07958521	51.41432444	53.8456547	76.39263889	85.53862407	98.2529508	120.5378763	132.0435031	216.9341249	296.1695319	549.8212078	849.8210106	2617.715757	10551.29048	146257.0578	0.717827018
Singapore Dollar	0.219760436	0.269927812	0.27676908	0.563906414	0.61492732	0.668042485	0.952695335	0.993556125	1	0.98758078	1.004315809	1.072282712	1.214194113	2.470411803	2.58963803	2.600552367	2.686848702	2.736077942	2.959300083	3.023709104	3.643874279	4.565139282	4.649527407	4.792376152	4.889454435	5.022151075	5.585759926	6.335983441	6.577075875	7.212918285	8.315849002	11.6602211	15.88597238	16.23981588	21.2041858	22.64245985	28.69180572	35.39343811	50.43096393	51.13748112	53.12351029	76.98353699	86.11403832	97.19847526	120.3435589	133.5208824	215.8840026	294.3601592	545.3060804	859.1222505	2580.294493	10467.51167	145823.0746	0.721033754
Libyan Dinar	0.219633523	0.264811925	0.273241447	0.560688633	0.60824854	0.660587575	0.946673087	0.983831594	0.988039189	1	1.001977514	1.06265244	1.211412065	2.419474618	2.601210248	2.599368868	2.659262181	2.689878722	2.953754549	3.030801073	3.625850622	4.570786929	4.578337999	4.84459793	4.889643095	4.993325869	5.534696526	6.320343593	6.541746317	7.173887961	8.220776793	11.81842142	15.948176	16.12767927	20.92001033	22.29438407	28.43478615	34.81169247	50.33569018	51.22521807	52.73903372	75.65451827	84.48742427	97.81724543	118.2426041	132.3364936	213.3114316	291.5004252	552.3010533	853.850883	2574.64007	10383.65018	145241.7938	0.706359593
Australian Dollar	0.216088994	0.264314831	0.274639455	0.558702984	0.613345166	0.661576156	0.945933224	0.981451176	0.974976211	0.976881366	1	1.054753611	1.187289496	2.400781446	2.591261626	2.586685799	2.641181922	2.68189868	2.959892892	2.983540902	3.60472986	4.515602022	4.605200109	4.768811167	4.892086728	4.999921635	5.493026145	6.260542882	6.435675429	7.069221726	8.240749528	11.54064489	15.78145019	16.24189559	20.89275656	22.56721935	28.53377192	35.18785398	50.65133462	50.58271855	52.77985379	76.20955103	84.48147425	96.24864504	119.0880094	130.1762523	213.4116619	292.5656631	542.0168951	846.6511743	2547.527189	10386.13892	144999.1751	0.690579055
